consolidated_symptom,umls,regex,entities
bleeding,hemorrhage,(#(bleeding|haemorrhage)|abnormal bleeding|b(leed( to (the )?brain|ing( (all over|disorders?|in (brain|h(er|is) brain|(my|the|your) brain)|o(f (the )?brain|ut))|s?))|rain (- hemorrhage|ha?emorrhage[ds]?))|cerebral hemorrhage|excessive bleeding|h(aemorrhage[ds]?|e(art (is )?bleeding|mo(philia|rrhag(e[ds]?|ic (bleeding|fevers)))))|intracerebral hemorrhage|l((ack of|ittle) blood|o(s|w level)s of blood)|microhemorrhages|spontaneous bleeding|“ bleeding),bleedings|brain haemorrhaged|bleeding all over|hemorrhage|hemorrhages|abnormal bleeding|loss of blood|#bleeding|spontaneous bleeding|excessive bleeding|brain haemorrhage|bleeding in his brain|haemorrhage|hemorrhagic bleeding|bleeding disorder|heart is bleeding|cerebral hemorrhage|“ bleeding|bleeding in my brain|lack of blood|bleeding of brain|bleeding|bleed to brain|bleeding in the brain|brain - hemorrhage|bleeding disorders|bleeding in her brain|bleeding in brain|brain hemorrhage|low levels of blood|bleed to the brain|#haemorrhage|hemophilia|little blood|bleeding of the brain|hemorrhaged|microhemorrhages|hemorrhagic fevers|brain haemorrhages|bleeding out|brain hemorrhages|intracerebral hemorrhage|haemorrhages|bleeding in your brain|haemorrhaged|heart bleeding
bleeding,massive hemorrhage,(heavy (- )?bleeding|massive hemorrhage),heavy - bleeding|massive hemorrhage|heavy bleeding
bleeding,wound hemorrhage,(bleeding wound|wound hemorrhage)s?,wound hemorrhage|bleeding wounds|bleeding wound
bleeding eye,bleeding eye,bleeding eye(balls)?,bleeding eyeballs|bleeding eye
blindness,blindness,(blind( in (her|one) eye|ness)|colour (- )?blindness|eyesight loss|los(e( ((95% of my vision|eyesight)|h((er eyesight|er vision)|is (eyesight|vision)|is vision)|(my|their) (eyesight|vision)|vision|your (eyesight|vision))|s (eyesight|h(er eyesight|is vision)|vision))|ing ((all vision|eyesight)|h(er|is) (eyesight|vision)|m(ost (of (h(er vision|is (eyesight|vision))|my (eyesight|vision))|vision)|ost of my vision|y (eyesight|vision))|their (eyesight|vision)|vision|your (eyesight|vision))|t (20% of (my )?vision|(30% of my|50% of the) vision|60% of (his|my) vision|(70% of her|80% of his) vision|9(0% of (my )?vision|8% of his vision)|(all vision|eyesight)|h(er|is) (eyesight|vision)|m(ost (of (h(er vision|is (eyesight|vision))|my (eyesight|vision))|vision)|y (eyesight|vision))|the( vision|ir (eyesight|vision))|vision|your (eyesight|vision)))|p(artial( blindness|ly (- )?blind)|ermanent blindness)|selective blindness),losing their vision|colour blindness|lost 80% of his vision|partially blind|lost 60% of my vision|partially - blind|lost vision|lost your vision|lost 20% of my vision|lost most vision|lost all vision|lost their eyesight|lost the vision|lost 90% of vision|lost most of my vision|blindness|losing vision|losing his vision|lose 95% of my vision|losing their eyesight|lost her vision|losing my eyesight|lose their eyesight|lose my eyesight|losing his eyesight|loses eyesight|lose my vision|lost my eyesight|lose your vision|lose his vision|losing most of my vision|lost 30% of my vision|partial blindness|losing her vision|lost 90% of my vision|lost your eyesight|lost my vision|lost their vision|lost 98% of his vision|lose eyesight|lose their vision|lost his eyesight|lost most of my eyesight|blind in one eye|lost his vision|losing my vision|losing eyesight|lose vision|loses vision|loses his vision|colour - blindness|lost 50% of the vision|lost most of his eyesight|lost 20% of vision|lose his eyesight|lost most of her vision|losing all vision|permanent blindness|eyesight loss|losing your eyesight|lose your eyesight|lose her vision|selective blindness|lost most of his vision|losing your vision|losing her eyesight|blind in her eye|lost her eyesight|lost eyesight|lost 60% of his vision|lost 70% of her vision|loses her eyesight
blood in stool,blood in stool,blood( in|y) stools?,bloody stool|blood in stool|bloody stools
blood in stools,blood in stool,blood in (h(er|is) stools?|(my )?stools?|the(ir)? stools?|your stools),blood in my stool|blood in my stools|blood in his stools|blood in her stools|blood in their stools|blood in the stool|blood in their stool|blood in stools|blood in her stool|blood in your stools|blood in stool|blood in his stool
blurred vision,hazy vision,(blurry ((- vision|eyesight)|visions?)|hazy vision|poor eyesight),hazy vision|blurry eyesight|blurry visions|poor eyesight|blurry - vision|blurry vision
bradycardia,bradycardia,(sinus )?bradycardia,sinus bradycardia|bradycardia
breast lump,breast lump,(breast lump|lump( (in ((her |my )?breast|the(ir)? breast|your breast)|on (her |my |their |your )?breast)|s in (her |my |their |your )?breasts)),lumps in breasts|lump in my breast|lump on your breast|lump in the breast|lump on her breast|lump on breast|lump in your breast|lump on my breast|lump in her breast|lump in their breast|lumps in my breasts|lump on their breast|lump in breast|lumps in their breasts|breast lump|lumps in her breasts|lumps in your breasts
breast lump,breast lump symptom,(breast lump symptom|lump in my boob),breast lump symptom|lump in my boob
breast tenderness,breast tenderness,breast tenderness,breast tenderness
breast tenderness,pain of breast,(breast pain|pain of breast),breast pain|pain of breast
bronchospasm,asthma,(#asthma|a(irways? inflammations?|sthma( (attack|problem)s?|tic attacks?)?)),airways inflammation|#asthma|asthma|asthmatic attacks|asthma problem|asthma attacks|airway inflammation|asthma problems|asthma attack|asthmatic attack|airways inflammations
bronchospasm,bronchospasm,bronch(ial (congestion|spasms)|ospasms?),bronchial congestion|bronchospasms|bronchial spasms|bronchospasm
bronchospasm,reactive airway disease,re(active airway( disease|s)?|stricted (airway|their airways)s?),reactive airways|restricted their airways|restricted airways|reactive airway|restricted airway|reactive airway disease
bruising,contusion,(quad )?contusions?,quad contusions|contusion|quad contusion
burning sensation,burning sensation,"(burning (("" )?feeling|sensations?)|feel( like (its|they are) burning|s like (its )?burning))","burning sensation|feel like they are burning|feels like its burning|burning "" feeling|burning sensations|feels like burning|burning feeling|feel like its burning"
burning sensation,burning sensation in eye,(burn( my eyes|ing (eyes|sensation in (eyes?|(my|the|your) eyes)))|eye( (is |was )?burning|s (- burning|a(ll burning|re (literally )?burning)|b(e(en)? burning|urn(ed|ing)?)|have been burning|is (really )?burning|literally burn(ing)?|r( burning|eally burned)|start(ed|ing)? burning|they burn|w(as burning|ere (( and still kinda are ) )?burning)))),eyes been burning|eye burning|eyes burning|burning sensation in my eyes|eyes start burning|eyes are literally burning|eyes burn|eye was burning|burning sensation in eye|eyes started burning|eyes literally burn|eyes starting burning|eyes is really burning|eyes - burning|eyes were ( and still kinda are ) burning|eyes they burn|burning sensation in your eyes|eyes really burned|eyes was burning|eyes all burning|eyes were burning|eye is burning|burn my eyes|eyes literally burning|burning eyes|burning sensation in the eyes|eyes are burning|eyes be burning|burning sensation in eyes|eyes r burning|eyes burned|eyes is burning|eyes have been burning
burning sensation,burning sensation of ear,(burning sensation of ear|ears (are |were )?burning),ears are burning|ears were burning|burning sensation of ear|ears burning
burning sensation,burning sensation of skin,(burning s(ensation (in (chest|h(er|is) (ches|throa)t|my (ches|throa)t|th(e (ches|throa)t|roat))|of skin)|kin)|skin ((is )?burning|was (“ )?burning)),burning sensation in my chest|burning sensation in the chest|skin is burning|burning sensation in her throat|skin burning|skin was “ burning|skin was burning|burning sensation in his chest|burning sensation in the throat|burning sensation in throat|burning sensation in chest|burning sensation in my throat|burning skin|burning sensation of skin|burning sensation in his throat|burning sensation in her chest
c/o pelvic pain,c/o pelvic pain,(c/o )?pelvic pain,pelvic pain|c/o pelvic pain
catatonia,catatonia,catatoni[ac],catatonia|catatonic
change in voice,change in voice,(change in voice|voice (chang(e[ds]?|ing)|d(amage|ropping)d?|has been damaged|is (changing|d(amaged|ropping))|was damaged)),change in voice|voice is damaged|voice has been damaged|voice is dropping|voice changed|voice dropping|voice changes|voice damage|voice was damaged|voice change|voice changing|voice is changing|voice damaged
chest discomfort,chest discomfort,"(chest( (( (bacterial ) infection|heart ) discomfort)|- infection|a(ches|ilment)s?|(complaints|discomfort|infection)|tightness (/|and|or) pain)|s infection)|discomfort (( and last night , sharp , stabbing pains ) in my chest|in (chest|h(er|is) chest|(my|the|your) chest))|issues? with (chest|h(er|is) chest|(his|my) chest)|problems? with (chest|h(er|is) chest|my chest)|weird feeling in (his |my |your )?chest)","chest tightness or pain|issue with my chest|weird feeling in your chest|issue with his chest|weird feeling in chest|problem with his chest|chest tightness and pain|weird feeling in my chest|discomfort in his chest|discomfort in her chest|chest infection|chest tightness / pain|weird feeling in his chest|chest discomfort|problems with my chest|chest ( heart ) discomfort|issues with his chest|problem with my chest|discomfort ( and last night , sharp , stabbing pains ) in my chest|problem with her chest|chests infection|chest ( bacterial ) infection|problems with his chest|discomfort in chest|problems with her chest|discomfort in your chest|chest aches|issues with my chest|chest ailments|problems with chest|chest complaints|discomfort in the chest|chest - infection|chest ailment|discomfort in my chest"
chest pain,acute chest pain,acute chest pain,acute chest pain
chest pain,cardiac chest pain,(cardiac chest pain|heart (/|or) chest pain|pain( in (:red_heart: :red_heart: heart|h(e(r he)?art|is heart)|my heart|the(ir)? heart|your heart)|s in (h(e(r he)?art|is heart)|(my|the) heart))),pain in her heart|heart or chest pain|pains in the heart|pains in her heart|pains in heart|pain in :red_heart: :red_heart: heart|pain in my heart|pain in the heart|pain in his heart|cardiac chest pain|pain in their heart|pains in his heart|pain in your heart|pain in heart|heart / chest pain|pains in my heart
chest pain,chest pain,(chest( (( (lung( (? )?) pain|s ) pain)|muscular ) pains)|[-.] pains?|aching|ha[ds] been aching|i(njury|s aching)|pains?|so pain|w(as|ere) aching|“ pain)|s pains?)|pain (chests?|my chest|on (chest|h(er|is) chest|(my|the|your) chest)|the the chest)),chest injury|chest “ pain|chest ( muscular ) pains|pain chests|pain on the chest|chest had been aching|chest has been aching|chest were aching|chest so pain|pain chest|chest was aching|chest is aching|chest - pain|chest pain|chest - pains|pain on your chest|chest pains|pain on my chest|chest ( lungs ) pain|chest . pains|chest . pain|chest ( lung ? ) pain|chests pains|chest aching|pain on chest|pain my chest|pain on his chest|chests pain|pain the the chest|chest ( lung ) pain|pain on her chest
chest pain,chest pain on breathing,(chest (/ lung pain|pain on breathing)|pain while breathing),chest pain on breathing|pain while breathing|chest / lung pain
chest pain,chest wall pain,chest wall pain,chest wall pain
chest pain,chronic chest pain,chronic chest pains?,chronic chest pain|chronic chest pains
chest pain,crushing chest pain,(crushing chest pain|rib cage hurt)s?,crushing chest pain|rib cage hurts|rib cage hurt
chest pain,pleuritic pain,pleuritic pain,pleuritic pain
chest pain,right sided chest pain,(pain in (my )?right lung|right sided chest pain),pain in my right lung|pain in right lung|right sided chest pain
chest tightness,pressure in chest,(chest (- )?pressures?|pressure in (chest|her lungs|lungs|my lungs|the lungs|your lungs)),chest pressure|pressure in chest|chest pressures|pressure in your lungs|pressure in the lungs|pressure in lungs|pressure in her lungs|chest - pressure|pressure in my lungs
chest tightness,tight chest,"(c(hest( (( and existence ) feeling heavy|- tight(ening|ness)|? tight|be( (feeling so heavy|getting tight|tight)|en (feeling (hella |quite )?tight|s(o (heavy|tight)|uper tight)|tight)|ing (heavy|super tight|tight|very tight))|fe(el( ((all tight|even tighter|heavy)|so (heavy|tight)|tight(er)?|very tight)|ing ((heavy|really tight)|s(o|uper) tight|tight)|s (all tight|he(avy|lla tight)|really (heavy|tight)|s(o (heavy|so heavy|tight)|o tight|uper (heavy|tight)|uper tight)|tight(er)?|very (heavy|tight)|“ tight))|lt (so )?heavy)|g(et( (heavy|tight)s?|s (all heavy|heavys?|really tight|s(o|uper) tight|tights?|very tight)|ting (heavy|so tight|tight))|ot ((heavy|really tight)|s(o (heavy|tight)|uper tight)|tight))|h(a(d been (feeling very|so) tight|s been (feeling (heavy|super tight|tight)|(getting tight|heavy|quite tight)|really (heavy|tight)|s(o (heavy|tight)|uper tight)|tight(ening)?|very tight))|eavy)|is (all tight|feeling (heavy|so tight|tight)|g(etting (all )?tight|oing to be tight)|heavy|r(eal)?ly (heavy|tight)|s(o|uper) (heavy|tight)|tight(en( up|ed|ing)|(ening)?)|very (heavy|tight)(ened)?)|literally (got tight|tightens)|really tight|s(o (heavy|tight)|uper heavy)|tight(en(( up|ed|ing)|s( up)?)?|(ened|ness)?)|very (heavy|tight)|was (feeling (heavy|so tight)|(getting tight|heavy)|really (heavy|tight)|s(o|uper) (heavy|tight)|tight(ening)?|very (heavy|tight)))|s ((are tightening|feel heavy|heavy)|tight(ened)?))|ongested chests?)|h(eav(iness (i(n (chest|h(er chest|is (chest|lungs))|lungs|my (chest|lungs)|the( (chest|lungs)|ir chests?)|your chest)|s on my chest)|on ((my )?chest|the(ir)? chest|your chest))|y (- chest|chest( feeling|ed|s)?|feeling on my chest))|urt( (my |their )?chest|s (chest|h(er|is) chest|(my|your) chest)))|tight( (- chest feeling|chest( feeling)?|feeling in (chests?|h(er|is) chest|my chest|the( (chest|lungs)| chest|ir (chest|lungs)s?|ir chest)|your chest)|in (chests?|h(er|is) chest|lungs|my (chest|lungs)s?|(my|the) chest|the( (chest|lungs)| chest|ir (chest|lungs)s?|ir chest)|your (chest|lungs)|your chest)|lungs)|ening (in (my chest|the(ir)? chest|your chest)|of (my |the |your )?chest)|ness ("" in her chest|in (chests?|h(er|is) chest|lungs|my (chest|lungs)s?|the( (chest|lungs)| chest|ir (chest|lungs)s?|ir chest)|your (chest|lungs))|of (chests?|(my|the) chest|the( (chest|lungs)| chest|ir (chest|lungs)s?|ir chest)|your chest))))","chest got really tight|heaviness on your chest|tight feeling in the chest|chest feels tighter|chest has been very tight|chest has been so tight|chest feels super tight|chest gets heavy|chest is getting tight|chest is tightened|hurt chest|tightness "" in her chest|tightness of my chest|chest is going to be tight|chest is very tight|chest been feeling quite tight|chests heavy|tightness in their lungs|chest has been feeling tight|chest had been so tight|chests feel heavy|heavy chest feeling|tightness in his chest|tightness in my chests|chest feeling really tight|congested chests|heaviness in her chest|heavy feeling on my chest|chest is super tight|chest very heavy|chest has been quite tight|chest tightening|tight feeling in chest|tight lungs|heaviness in their chests|chest feels so so heavy|chest is so heavy|heavy chest|chests tight|tightness in the chest|chest feels really tight|heaviness on the chest|chest is really heavy|chest gets tight|chest got heavy|tight - chest feeling|tightening in my chest|chests are tightening|tightening of your chest|chest has been really tight|hurts his chest|chest heavy|chest was feeling so tight|chest is tightening|chest feel heavy|chest feel so heavy|chest tighten|tightness of chest|chest feels so tight|chest feel very tight|chest literally got tight|chest feel even tighter|chest is tighten up|tight in the chest|chest has been tight|chest is really tight|tight chest|chest get tights|heaviness in his lungs|tightening of chest|chest got so heavy|chest very tight|hurts my chest|tightness in chests|hurt their chest|tightness in their chest|chest - tightening|chest feel all tight|tight in your chest|chest getting so tight|heaviness in their chest|tight in my chest|heaviness in the chest|heaviness in the lungs|chest ( and existence ) feeling heavy|chest has been super tight|chest has been really heavy|chest tightens|chest was so tight|chest be tight|chest is feeling heavy|chest gets super tight|chest ? tight|chest is getting all tight|tight chest feeling|tight in chest|heaviness on chest|chest being super tight|chest really tight|chest feels super heavy|heavy chests|hurts chest|chest feels heavy|chest feels “ tight|chest is very heavy|heaviness on their chest|chest has been heavy|chest be getting tight|chest tightens up|chest was super heavy|congested chest|heaviness in your chest|chest was getting tight|chest feeling so tight|chest been so heavy|chest was very heavy|chest be feeling so heavy|tight feeling in his chest|tightness in lungs|chest been so tight|chest is all tight|chest has been getting tight|chest is super heavy|heaviness in his chest|chest feels really heavy|chest feeling heavy|chest feeling tight|chest been super tight|heaviness in lungs|chest was heavy|tight feeling in her chest|tightness in your chest|chest felt so heavy|chest has been tightening|chest feels hella tight|chests tightened|heaviness on my chest|tight feeling in their chest|chest being very tight|hurt my chest|hurts her chest|chest getting tight|chest gets so tight|chest has been feeling heavy|tightness in her chest|heaviness in my lungs|chest feels so heavy|chest so tight|chest was really tight|hurts your chest|chest is feeling tight|chest feel tight|chest was really heavy|tightness in the lungs|chest feels tight|chest - tightness|chest feels very tight|chest has been feeling super tight|chest feels all tight|chest is rly heavy|chest super heavy|chest feeling super tight|chest get heavy|chest was very tight|chest being tight|chest literally tightens|chest get tight|chest was super tight|chest was tightening|heavy - chest|chest is tight|chest was feeling heavy|chest is rly tight|tightening in the chest|chest being heavy|chest feels very heavy|heaviness in chest|tightness in my chest|chest felt heavy|chest gets all heavy|chest got super tight|chest is heavy|heavy chested|tight feeling in my chest|tight feeling in your chest|chest been feeling hella tight|heaviness in my chest|chest tightness|tightness in chest|chest got so tight|tightening of my chest|tightness in my lungs|chest tight|tightness of the chest|chest been tight|tightness in your lungs|chest feel so tight|chest got tight|chest gets really tight|chest has been so heavy|chest is very tightened|tightening in your chest|chest tightened|chest getting heavy|chest been feeling tight|chest gets very tight|tightness of their chest|chest was tight|tightening in their chest|tightness in their chests|chest was so heavy|tightening of the chest|tightness of your chest|chest is so tight|chest feel tighter|heaviness is on my chest|chest so heavy|chest tighten up|chest had been feeling very tight"
